name,gmap_id,descrption,category,facilities,text,amenidades
Congress Hotel,0x880e2c989ba6fd2b:0xc91df2e3ce20bda7,,['Hotel'],,,
Point Nipigon Resort Club,0x4d3593cd38ec5ef9:0x33d3f6eb4c5d179c,,['Resort hotel'],,,resort
Pleasant Pointe,0x88ef395ccb9cda7d:0x5e257699fe4c10a0,,['Hotel'],,,
Eagle's Nest Lodge,0x87ce166d522f9b3b:0xea517ef896b5f799,,['Hotel'],,,
Best Western Plus Executive Residency Columbus/Worthington,0x8838f3434bb53ecf:0x3cd9c935046142c0,,['Hotel'],,"Very spacious room that included a stove, refrigerator and microwave. The room was clean and quiet. This hotel is surrounded by plenty of restaurants and quick access to the freeway. I had no issues while staying here and would definitely return.","restaurant, spa"
Bradbury Inn and Suites,0x88fb96d422c686a7:0xc3b296e976d7e9a7,,['Hotel' 'Bed & breakfast' 'Indoor lodging' 'Restaurant or cafe'],,,restaurant
Hotel Motel Prestige Place #2,0x88d9b11ed42d5b9b:0xde8ebc468d453aa7,,['Hotel'],,,
Stones Cottages,0x808e6a98ffaf0397:0x3e98fa1f81d57a1,,['Hotel'],,,
Bellemont Sun Valley,0x54a982b73bcc99f1:0x2708df96017ecff3,"Cozy, lodge-style hotel offering a heated outdoor pool & a hot tub, plus free Wi-Fi & parking.",['Hotel'],,"Good location and clean room. Half of the building was under construction, so there were a lot of exposed cords and wires. This hotel had more of a motel feel to it.","pool, parking"
Red Carpet Inn,0x89c467cf1fdf7683:0x9fc3524270f3329,"Unassuming hotel featuring straightforward rooms with cable TV, plus free continental breakfast.",['Hotel' 'Indoor lodging' 'Motel'],,Inexpensive but you get what you pay for,
Cookie's on Upper Red Lake,0x52b96d75f72e5971:0xf2567ce6109c9d24,,['Resort hotel' 'Cabin rental agency' 'Fishing camp' 'Fishing charter'],,,resort
Villa 122,0x89c487095a4f5f73:0x29d104c05356c5ff,,['Resort hotel'],,,resort
Ramada Limited San Francisco,0x808580da3ba2fdb7:0xd92192a2f7e37deb,,['Hotel'],,,
Travelodge Naperville,0x880e56f16e21cf45:0xe6c46260a66da5d7,,['Hotel'],,,
The Mirage Events Center,0x80c8c4180c252b1d:0x119974710991e313,,['Event venue' 'Hotel'],['Wheelchair accessible entrance'],,
Elk Springs Resort Restaurant,0x884b9f06b268749d:0xef368b396048b220,,['Breakfast restaurant' 'Lodging' 'Resort hotel'],"['Takeout' 'Dine-in' 'Delivery' 'Great coffee' 'Solo dining'
 'Wheelchair accessible entrance' 'Coffee' 'Comfort food' ""Kids' menu""
 'Quick bite' 'Dessert' 'Good for kids' 'High chairs' 'Casual' 'Cozy'
 'Groups' 'Tourists']",,"restaurant, resort, food"
The Plantation Estate,0x7c0046aa82e1de19:0xa7022a9f9cd0cc7,,['Hotel'],,,
Motel 6 Milledgeville Ga,0x88f6b87cbf861aaf:0x397d90d5f048f78c,"Simple, colorful rooms with microwaves & minifridges, plus free Wi-Fi & an outdoor pool.",['Motel' 'Hotel'],,Clean comfortable rooms. The pillows are small so i used 3. Great rooms at a great price. Biker friendly.  Parking right at your door and window.,"pool, parking"
The Inn on Park Street,0x4cb54a24a8e1d941:0xd7d39c1d39d6d540,,['Bed & breakfast' 'Hotel'],,,
Best Western Country Inn,0x8703f53a634e5115:0xb4d20117b26b4cc9,,['Hotel'],,,
Hilton Head Sc,0x88fc70bc68aed40d:0xf3b091dc9bd2cb55,,['Hotel'],,,
"Days Inn 3023 E Andy Devine Ave Kingman, Az 86401",0x80cdcc1dcd81f619:0x3f2af6bb5bb684ea,,['Hotel'],,,
Plaza Resort & Spa,0x80db1cc9665b66fb:0x41cbe2442e02636,,['Resort hotel'],,,resort
Charlies Resort,0x52cdc95be35887b5:0xf7f255a711d1c8d1,,['Resort hotel' 'Convenience store' 'Restaurant'],,,"restaurant, resort"
Motel 30,0x89ca4b1ea0aae2e3:0x4579976cc9593fa1,,['Hotel'],,,
"Staybridge Suites Rochester - St Mary’s Area, an IHG Hotel",0x87f75f17151095bd:0xac77a1cae0f4d435,,['Hotel' 'Conference center' 'Extended stay hotel' 'Wedding venue'],,,
Comfort Suites at UNT,0x864dca5ac8d594c1:0x1955398c7664a21,,['Hotel'],,,
Hilton,0x89e82b700f82a895:0xb07320f3bcda0027,,['Hotel'],,,
"Adventures Resort- Bar, grill, and campground",0x52ab722cd6ef3071:0xfca23f69797f7582,,['Resort hotel' 'Bar & grill'],,The owner was there while we were there and was very courteous. I would definitely recommend to anyone who is in the area to check out,resort
Radisson Hotel Dayton Convention Center,0x8840818d53779289:0xb2021104ad4cb471,,"['Hotel' 'Business center' 'Event venue' 'Group accommodation'
 'Pet friendly accommodation']",,,
Graham-Carroll House Bed & Breakfast,0x87b5e07b1fc435ed:0xcadb836778a0b99,,['Bed & breakfast' 'Event venue' 'Hotel' 'Indoor lodging' 'Wedding venue'],,"Donna and Jeff are great! Amazing food, very accommodating.",food
Mexy Travel,0x8091063537b6e63b:0x49be856bef7ca27a,,['Travel agency' 'Bus tour agency' 'Hotel'],,Excelente friendly staff service!! Over 23 years of using her travel service and counting!! Always good deals!!,
Par4 Resort,0x88010bd2dd779fd5:0x15368648dce0b16a,,"['Resort hotel' 'Banquet hall' 'Bistro' 'Catering food and drink supplier'
 'Event venue' 'Golf shop' 'Public golf course' 'Restaurant']",,,"restaurant, resort, food"
The Nolan Inn,0x80990aa290af997d:0xd2272c44f8054474,,['Hotel'],,,
Natchez On The Bluff,0x8625f6e29574aa5f:0xf6f31d21d3be8a30,,['Hotel'],,,
Hootie Hoot Beach House,0x88eb37d97a29d65d:0x308eba898a06124e,,['Hotel'],,,
cambridge House Apts,0x809467164feb861f:0x183d3c4d4036abac,,['Hotel'],,This intimate complex is family owned and operated.  Everyone is neighborly with each other...14 units...,
Red roof,0x8878aba3df9fe901:0xa1b08edf61ffb8fd,,['Hotel'],,,
Land Yacht,0x88eb35dc1ed16a05:0x17b91e7ea9a65c7c,,['Hotel'],,,
The Cottage at Sunset Beach,0x88c2fd67085f939b:0xd0040dda03ea260a,,['Cottage rental' 'Resort hotel'],,,resort
"Waterscape Vacation Condos Ft Walton Beach, Florida",0x88913fb76a240397:0x1db47240f863da95,,['Hotel'],,,
Comfort Inn Central,0x809b0540f33108c5:0x9fdf0426e106bcd8,"Straightforward hotel with an outdoor pool & a gym, plus free breakfast buffet, RV parking & WiFi.",['Hotel' 'Lodge'],,,"wifi, gym, pool, parking"
Rodeway Inn Mid Town,0x89c8049767ad0665:0x3d99a1dd023d8a39,"Simple budget hotel offering traditional lodging with minifridges, plus free Wi-Fi & breakfast.",['Hotel' 'Lodge' 'Motel'],,,
The Condo,0x87c4c66ebb9ff269:0x43b70c37d71e05cd,,['Hotel'],,,
Fox Cabins,0x885947d14cb6dccf:0xa3b5515109e8dd25,,"['Vacation home rental agency' 'Cabin rental agency' 'Hotel' 'Log cabins'
 'Mountain cabin']",,,
River Manor Resort Village,0x89dcb8bab5ee36db:0x6b914b75e1a3e1ae,,['Resort hotel'],,,resort
Wishing Tree,0x5495a6fba301bc51:0x3d3bf2c04de4ce19,,['Hotel'],,,
"Little Whitefish Resort and Cafe, Open May-Oct",0x52b156c8db8b4995:0xc4ab5d5c004e128,Simple cabins with full kitchens and private bathrooms in a rustic resort with a restaurant.,"['Cafe' 'American restaurant' 'Boat rental service' 'Camping cabin'
 'Resort hotel' 'Restaurant']","['Takeout' 'Dine-in' 'Delivery' 'Fast service' 'Lunch' 'Dinner'
 'Solo dining' 'Alcohol' 'Beer' 'Coffee' 'Comfort food' ""Kids' menu""
 'Quick bite' 'Wine' 'Breakfast' 'Lunch' 'Dinner' 'Dessert'
 'Good for kids' 'Wi-Fi' 'Casual' 'Cozy' 'Groups' 'Tourists']","The food looked good, smelled good, and tasted fantastic. What a great little cafe! The burger was simply amazing.","restaurant, resort, food"
Rosebrier Inn,0x536650bff3f1a409:0x265e307daac4677e,,['Inn' 'Hotel'],,Chuck really goes out of his way to make sure the place is running smoothly and clean..  The place gets quiet at night which is nice . A+,
Twin Springs Resort,0x52b710e26ccea3f5:0xc0ea16881e3239f1,,['Resort hotel' 'Indoor lodging' 'Lodging' 'Sports activity location'],,,resort
S W Cabin Rentals,0x87b5a4dcaa526729:0xcae9a18b5772a41f,,['Hotel'],,,
Hotel Rogers,0x52d244e31ec00979:0x8eceeb70e02e4af9,,['Hotel'],,,
Super 8 Flint/Burton Area,0x88238032b8fcfaaf:0xb23612ec2c06fb7f,"Budget property offering a business center, plus free continental breakfast, WiFi & parking.",['Motel' 'Hotel' 'Inn' 'Lodge'],,,"wifi, parking"
Moms Hotel,0x80ea6bf2ac7ca77d:0x3884c61a8237836b,,['Hotel'],,,
Lakeside on Lida Resort,0x52c9a9547332cdaf:0x6b7c06d2e4f0aaf2,,['Resort hotel'],,,resort
Edgewood Motel & Restaurant,0x89cd4cf1ee27d799:0xf9ad1e8c67a7ca0a,,['Motel' 'Hotel'],,,
Red Roof Inn & Suites Hammond,0x862723023ab582d1:0x4297ae254b0cbb5e,Straightforward rooms at a modest hotel offering complimentary Wi-Fi & a seasonal outdoor pool.,['Hotel'],,,pool
Econo Lodge Inn & Suites Six Flags,0x864e7d8a15a041c1:0x629e4f93c51fe0a8,"Hotel with an outdoor pool, plus freebies like WiFi, breakfast & shuttle to Six Flags & airport.",['Hotel' 'Lodge' 'Motel'],,"There was no HOT WATER for a shower at 7am, my TV in the living area didn't work either.  After 4 hours they wanted to take my TV and leave me without one. Then they brought another TV but it didn't have a remote. The MANAGER IS NEVER AVAILABLE. However he's always there lurking around as if he's just traveler.  But he Lives  UPSTAIRS above the lobby. And he won't help with anything.  I even filed a complaint and he still never contacted me.  He leaves his staff hung out to dry.","wifi, pool"
Holiday Inn Express & Suites Evansville,0x886e2c9b89a50f91:0x36ac9e478f1235be,"Contemporary hotel with an outdoor pool & fitness center, plus free hot breakfast & WiFi.",['Hotel'],,,"wifi, pool, fitness"
Furs & Feathers Resort,0x88d8d6664b255555:0xab0b77e86422b3f3,,['Hotel'],,,
American Inn & Suites,0x86461965d7e2e4f1:0x93e4027f82ddec36,"Straightforward budget hotel featuring complimentary perks such as breakfast, parking & Wi-Fi.",['Hotel' 'Motel'],,Very nice and clean and very friendly worker's I would come back and stay when I come down from Texas to visit again,parking
Samarkand Inn,0x89e3257713f6853f:0xe1b972015da339b2,,['Inn' 'Hotel' 'Motel'],,,
Iris Hill Glamping,0x87cecd45eab88c65:0xec951bd5c4b8dcf0,,['Indoor lodging' 'Hotel'],,,
Fountain Wood MHP,0x89ab5a3dc9bdd711:0x41cb4b19923ec9f3,,['Hotel'],,,
Town'n Country Motel,0x89b711d1ce4dbb2b:0x34dc47bc79085a37,,['Motel' 'Hotel'],,,
Edgewood Suites Albuquerque,0x8718a0f07393a389:0x4c534213ccda832e,,['Hotel' 'Motel'],,,
Shoreline Resort,0x4d5a783d196fbad5:0xb8c4e19fd137c082,"Rustic lakeside lodging with free WiFi & kayak/boat use, plus a sandy beach & an ice-cream counter.",['Resort hotel'],,A  nice  peaceful  place . I love  it,"wifi, resort"
"Treehouse Vacation Rentals, Mammoth Lakes",0x80960db0f4d71e03:0xc3eb5c2a8f55f590,,"['Vacation home rental agency' 'Cabin rental agency' 'Condominium complex'
 'Hotel' 'Lodge']",,,
The Green House at Lighthouse Hill Ranch,0x865b73bd54cc1f33:0x6724b8a9d9c9be76,,['Hotel'],,,
Pike Lake Resort,0x52ab518b978579d3:0xccd25885ff0640ff,,['Resort hotel'],,Cozy little bar on a quiet lake. New campground just opened up. Great owners are ready to work with.,resort
Comfort Suites Laurel Lakes,0x89b7dd2324a20ab7:0x58377bb322efd36c,,['Hotel' 'Meeting room'],,,
Condominio Tropical,0x88d9a51f10183cf5:0x1c0fffb664fe53b4,,['Hotel'],,,
Lake Conroe,0x864722aebbfcef9d:0x50d35ea7254fe60b,,['Hotel'],,,
Good Shepherd Pet Hospital,0x88c295b2468d628f:0x9308b992574a7cb6,,"['Veterinarian' 'Animal hospital' 'Emergency veterinarian service'
 'Health spa' 'Hotel' 'Pet boarding service' 'Pet friendly accommodation'
 'Pet groomer' 'Veterinary pharmacy']",['Wheelchair accessible entrance'],Dr. Deeb and his staff are amazing. We had two different emergencies with our animals and we couldn't get them into our current vet. Good Shepherd was able to help us immediately. We were treated so well that we are giving them 100% of our business from here on out. I feel incredibly comfortable taking my senior dogs to them and we couldn't be happier.,spa
Puumoi Country Cottage,0x7953b2b1682afeb5:0xf14e4d7f4b8f4a07,,['Hotel'],,,
Red Roof Inn By South Ann Arbor Mi,0x883cafb370dd8e41:0x39605646f2ab2f05,,['Hotel'],,,
Wild vacation,0x80e9ee332d495cb3:0x3068ada0bfb862c7,,['Hotel'],,,
Ventura Resort Rentals Orlando,0x88e7648b437faec1:0xfaebd98e821b5831,,['Resort hotel'],,"Easy parking, pleasant Staff.decent food ..little pricey. Not for baby boomers at all
More of older croud with old money","resort, food, parking"
Building 20355,0x86e74fdd715be22f:0xc6b9f818f6817b50,,['Hotel'],,"As my former 1SG would say, ""Y'all live in a mansion!""

It's a nice setup. Common areas shared with private living quarters. I mean it's a barracks.

Some stated there was a roach problem. Never experienced that bc we actually cleaned our rooms and common it goes without saying that some rooms were pretty nasty because the occupant was pretty nasty. Take pride in the mansion and clean it. NCOs shouldn't have to do barracks checks because no one should have to be told to clean their rooms. Unless your mom enlisted with you.",
Simply Paradise,0x89a4fb69aa21d5cf:0xe21d769ad4b73da0,,['Hotel'],,,
Swallow's Nest Guest Cottages,0x54905068a53f6831:0xc54eb3dbc20eba31,,['Vacation home rental agency' 'Bed & breakfast' 'Hotel' 'Motel'],,,
Prescott Area Shelter Services,0x872d28c8a44c0001:0xedf5fa40d40ef34a,,['Hotel'],,"Great people, gave me a bed and a roof, hot dinner.  I feel safer here than on the streets.",
Hotel Marriot downtown,0x89c25ba00e828b77:0x64c926d1109040b,,['Hotel'],,,
Evilion Inn,0x89b493a2c634de3d:0x84f5c0853d92c4bd,,['Hotel'],,,
Deer Lake Villas - Boyne Mountain Resort,0x4d4aa121986c3d89:0x302c6f876c43f845,,['Hotel'],,,
Emiliano Breit Salon & Spa,0x88d9b7f925538a19:0xb2884ea541389ce8,,"['Hair salon' 'Hair extension technician' 'Hair extensions supplier'
 'Massage spa' 'Nail salon' 'Resort hotel' 'Hairdresser'
 'Waxing hair removal service']",['Wheelchair accessible entrance' 'Gender-neutral restroom' 'Wi-Fi'],Awesome place...nice atmosphere...even better people!!!,"massage, resort, spa"
Johnson Family Farm,0x5490f19c212d33f7:0x50ac8ad37b4adedb,,['Hotel'],,,
Scottish Inns,0x86f923bc7bab2c67:0x8b405a22028ff50a,"Unassuming, low-rise hotel offering humble rooms with Internet & premium movie channels.",['Hotel' 'Inn' 'Motel'],,,
Americas Cabins Inc.,0x8859563c91907703:0xc620694925a5a9e,,"['Cabin rental agency' 'Condominium complex' 'Condominium rental agency'
 'Hotel' 'Lodge' 'Real estate agents' 'Real estate rental agency'
 'Vacation home rental agency']",,,
M Star Rapid City,0x877d433d395e4743:0xe3b5319d243b466c,"Straightforward hotel offering informal rooms, plus complimentary parking & Wi-Fi.",['Hotel' 'Inn'],,"Not a bad place to stay for the price ($40 when I originally booked). But there is no made service which makes it hard to get things like toilet paper, trash bags and fresh towels. The beds are hard and old. There is a free breakfast but it's mostly cereal, toast and pastries. If you just a need a cheap place to rest, I recommend,  but if you are looking for a little more, stay elsewhere.",parking
拉斯维加斯,0x80cf35361e0b0cc3:0x72ff6cea255f96d3,,['Hotel'],,,
Hotel Attica,0x8812956ceb6dc45f:0xbb801167ece14cfd,"Quaint rooms in a circa-1853 hotel with a restaurant & lounge, plus free WiFi & morning coffee.",['Hotel' 'Banquet hall' 'Event venue' 'Lodge' 'Lodging' 'Wedding venue'],,,"wifi, restaurant"
Adventures On the Gorge,0x884ebbe572ca2fa1:0x6d03a3550f3c9291,"Unassuming resort with homey, spartan cabins, plus 3 restaurants & a pool with gorge views.",['Resort hotel' 'Campground'],,,"restaurant, pool, resort, spa"
Skyline Mountain Resort,0x874c3f6a3dac9757:0xdbfe3892c703de22,,['Golf course' 'Resort hotel'],['Wheelchair accessible entrance'],,resort
Cedar Roost Inn,0x872cc731c8c0a6b7:0x4b15c0f598d00ff9,,['Hotel'],,,
Red Roof Inn,0x5495a173513b0827:0xbe7485d003b64efc,,['Hotel'],,,
Casa Blanca Lux Beach House Santa Monica,0x80c2a4c7bcbea1d3:0x3379f3c84beeeea0,,['Hotel'],,,
Sandbar Rooftop,0x89c259d10e654f89:0x62d82b277df2095a,Cocktails & bites atop the Hilton Hotel in a chic eatery with a beachy vibe & panoramic city views.,['Lounge' 'Hotel'],"['Dine-in' 'Delivery' 'Great cocktails' 'Alcohol' 'Beer' 'Cocktails'
 'Hard liquor' 'Wine' 'Restroom' 'Cozy' 'Groups' 'Tourists']","Reservation only. $25 minimum per person.

Great views of downtown and the empire. Not crowded with the reservation only.",
Roundhouse Inn,0x80990abda2db4213:0x7a05c184f1d87001,,['Motel' 'Hotel'],,Family place with kids.  Lots of fun and great people.  THERE ARE NO BEDBUGS HERE.  Rooms are as clean as you keep your own room.  Improvements are being made to rooms.,
J & S Reeve Cottages,0x89e88c8332f01f55:0xfd01ce8fa0d4bcf4,,"['Vacation home rental agency' 'Cabin rental agency' 'Cottage'
 'Cottage rental' 'Cottage village' 'Holiday accommodation service'
 'Holiday home' 'Hotel']",,,
Kumar & Associates,0x5495a25c0fdfbe59:0x853263672e41601,,['Hotel'],,,
Wyndham Vacation Resorts,0x88dd841673f202e1:0x52ec6b3cdf01632f,,['Resort hotel'],,,resort
Super 8 Pascagoula MS,0x889be9aea5952541:0xb3b6d53f5893a8c8,"Simple budget hotel offering an outdoor pool & a hot tub, plus free breakfast, parking & WiFi.",['Motel' 'Hotel' 'Inn' 'Lodge'],,,"wifi, pool, parking"
Byrnwyck,0x88c2f3f72b4bc0c3:0x4d47a2cc724022b7,,['Hotel'],,,
Golden Owl PA,0x89c4f13930857a75:0xbb8a10e4b6b6c860,,['Hotel'],,,
ZinScape,0x808405badfb3e0b7:0x996c4117f8de7110,,['Hotel'],,,
Hotel Mcdonnell Social Club,0x89d1afb11ffa1921:0xccab9cd6c7bc171f,,['Social club' 'Hotel'],,Fun bar environment with a kind fast acting staff who give you your money's worth in alcohol. There are two pool tables and a dart board. Great place to get your drink on.,pool
Super 8 Reynolds /East Columbus Area,0x8838635b32d793cf:0xe85ec19dc2eed89a,"Modest budget property offering an outdoor pool, plus free WiFi, breakfast & large-vehicle parking.",['Hotel' 'Inn' 'Lodge'],,I visited this super 8 location to see a friend from out of town. The location was easy to find and the rooms easy to find. The area seemed somewhat not so safe. I saw what may have been a drug transaction in the parking lot. The people I encountered while going to the room didn't seem to be of the nicest type. The rates were reasonable and the room was clean with nice amenities.,"wifi, pool, parking lot, parking"
KYM Apartments,0x80db21edc7beb547:0xaa63bf150952bb90,,['Hotel'],,,
AllExpeditions,0x88d9b68242c3e9c7:0xf38d497c5ecce9b9,,['Tour operator' 'Hotel' 'Tour agency'],,,
Travelodge Panama City Beach - Sports & Events Complex,0x88938d20993abdff:0x123f9c0c608957a,,['Hotel' 'Camp' 'Group accommodation' 'Resort hotel' 'Sports complex'],,,resort
Riddell House,0x89cd802fd719def1:0x2c6cc8fc2871098f,,['Hotel'],,"Awesome place, great food, and cheapest beer in town.",food
Super 8,0x87c856e5dfe10213:0x2f58ddcaa694e5e,,['Hotel'],,,
Wyndham Jacksonville Riverwalk,0x88e5b704f4e9a4cf:0x21333c8aec168ac,,['Hotel' 'Extended stay hotel' 'Inn'],,,
Casitas at Terranea West,0x80dd4eab0c83613b:0x1a24ba116b3bc5df,"Warmly furnished quarters in an upmarket beachfront resort offering dining, a spa & a golf course.",['Resort hotel' 'Condominium complex'],,"Love it, .everyone is chill, staff is great. Super accommodating and laid back. Crazy good pool views.","pool, resort, spa"
Four Season Lakefront Penthouse,0x89c4f91dff0ef60b:0x3cbdae6b636327b1,,['Hotel'],,,
The Big House,0x89e60e6469c7fefb:0xdff2da65fb74962b,,['Hotel'],,,
Black Bayou RV and Cabins,0x864271a84818ca6f:0xad6c415a3fbefd0b,,['Hotel'],,"Cozy and nice. Always well maintained. Had issues with cable but they are always quick to respond. Duck pond, picnic area and grilling area are a plus!!..would definitely recommend!",
Lincoln Suites,0x886839b0e35e2cad:0xef2cebb173ced85,,['Hotel'],,,
Keaton’s cabin,0x885bffcc5b71b3f5:0x7178c4850f677cf6,,['Hotel'],,,
Jolly Fisherman Resort,0x52c81ce77e89ad35:0xbf651336163089f6,,['Resort hotel' 'Seaplane base'],,,resort
Motel 6,0x8853adb99a02bf3f:0x70adb82ceda0cf14,"Straightforward budget property with an outdoor pool & laundry, plus free morning coffee & parking.",['Motel' 'Hotel'],,,"laundry, pool, parking"
American Presidents Motel,0x8762ce3ce7818d2f:0x2ba01025d128d3c1,,['Resort hotel'],,,resort
Mankato Motel Operations LLC,0x879873edeab6e943:0x162f6da86138b315,,['Motel' 'Hotel'],,,
Tom's Beach House Rentals,0x89c19bd2c177db29:0x72fa52ba0a933335,,['Hotel'],,,
Arrowhead Condominiums,0x535d09647bbbc2ad:0x51576fca0a4d0995,,['Hotel'],,,
Ramada Philadelphia City Center,0x89c6c5db5bd842eb:0xec4842605bff042a,"Casual lodging with a sports bar & a fitness center, plus free breakfast, WiFi & an airport shuttle.",['Hotel' 'Lodge' 'Motel'],,,"wifi, fitness"
Courtyart,0x865c65cf538db121:0xed8ba47ed0c69a01,,['Hotel'],,,
Americas Best Value Inn & Suites,0x8084d08d37d26d1d:0xc35a5411b59101fe,"Straightforward hotel offering free continental breakfast, plus free WiFi & large vehicle parking.",['Extended stay hotel'],,,"wifi, parking"
Camp Inlow,0x87dd85baa9549885:0x9b1e5e51d66666a7,,['Hotel'],,My kids love this place,
Deer Creek State Park,0x8847678f39f44983:0xc7a6bf6afd22c964,,['Hotel'],,,
Governor's Mansion Vacation Rentals,0x876a912403be67b3:0x36fb1b612bf7d551,,['Hotel' 'Lodge' 'Vacation home rental agency'],,,
Custom Touch Village,0x8788e28a2805d445:0x6d94114e030992bc,,['Extended stay hotel'],,,
Inn at Palm Crossing,0x80900d062ad0f7a5:0xffb1fd8b0ea711bd,,['Hotel'],,,
grandmas house B&B,0x548fad610446a653:0x1ef918426bfb4268,,['Hotel'],,,
Bugsy's on Bostic,0x52bec4f8207824f1:0x168e3ccd66e12bdd,,['Resort hotel' 'Bar' 'Bar & grill' 'Fishing store' 'Gift shop'],,"Awesome food,  Gayle is my favorite,  LOVE her. Great atmosphere.  We went with our friends, lots of great locals there. Drinks were fabulous,  thank you Gordy for the wonder drinks and Gayle for the fabulous food!!","resort, food"
Crystal Waters Resort,0x4d53e782d4452ff5:0xd8c835c6fa480f9c,"Lakeside pine cottages with full kitchens & boats by a sandy swimming beach, plus a kids' play area.",['Resort hotel'],,,"resort, Swimming"
BattleVista Vacation Rental,0x88604284492e5011:0x81fb049ccda4385d,,['Hotel'],,,
Musky Run Resort,0x52abf850f462610b:0x43eef8c371174c95,,['Resort hotel'],,,resort
Rye Creek Lodge,0x5359374160a93df1:0x2b7e9761593ad009,,['Log cabins' 'Hotel' 'Lodge' 'Resort hotel'],['Wheelchair accessible entrance'],,resort
Americas Best Value Inn Guymon,0x870628e010785c89:0x280c77206a33af1,"On-site dining, free breakfast & a barbecue area are offered at a laid-back budget hotel. ",['Hotel' 'Motel'],,,
Comfy & Cozy Cabin,0x885bfdbdca5dbfb5:0x9e634ff7ae27d4e1,,['Hotel'],,,
Ogden’s,0x865e93cc36a2d15f:0xfb71bb2a18a2b194,,['Capsule hotel'],,,
Furniture Inn,0x80dd2a11cd220995:0xa9f05d16cad668a8,,['Hotel'],,,
Marcies,0x89b421e5581695df:0xb381166fb43e1c9d,,['Hotel'],,,
St. Louis Corporate Housing,0x87ded540c925b9e1:0xba35216639a4d394,,"['Short term apartment rental agency' 'Apartment building'
 'Apartment complex' 'Apartment rental agency' 'Condominium rental agency'
 'Corporate campus' 'Extended stay hotel' 'Furnished apartment building'
 'Housing authority' 'Housing complex']",['Wheelchair accessible entrance'],,
Clarion Inn Conference Center,0x88ee66b51dd88ecd:0xac8f022d7886fd3b,,['Hotel' 'Conference center'],,Doesn't exist...... now called Kinderlou Inn,
Otelimiz,0x80c2be54ee3a9fc5:0x8de3d398833696f0,,['Hotel'],,,
Summit Village,0x8753a21698c282ad:0xd8b9eba8c2124c1b,,['Hotel'],,,
GuestHouse Inn & Suites Nashville/Vanderbilt,0x88646694f891429f:0xb511a997c49dc70c,"Modern hotel offering straightforward, warm rooms, plus free breakfast, WiFi & a local shuttle.",['Hotel'],,,wifi
SW Creekside Cabin #4 by Coyote Cabins,0x8747fb45af7de583:0x2d6954ac4fd5045a,,['Hotel'],,,
Lake Diane Retreat,0x883d99318ee9691d:0x73195982e61bab68,,['Resort hotel'],,,resort
Winwood Suites,0x89b5edec7e96195b:0x1a949a641490c85d,,['Extended stay hotel'],,,
Time Flies on the River,0x8859492d57aec339:0x69b78cd9e87a23b3,,['Hotel'],,,
Navy Gateway Inn Oceana,0x89bac1d7c3e48e91:0x4bc6cbc9b1246c51,,['Hotel'],,,
Hale Moana Bed & Breakfast,0x79523a803e0e9321:0xeab5dea5996d1059,"Lushly landscaped B&B featuring a simple studio & suites with kitchenettes, plus  free WiFi.",['Bed & breakfast' 'Hotel' 'Inn'],,,wifi
Tavaputs Ranch,0x874f2d223d3bf37d:0xa4f8c5c9386b2e83,,['Hotel'],,,
Dunes village,0x8900699c3d0e5c1d:0x7ee6add0491b1765,,['Hotel'],,,
Oster Golf House - Crenshaw,0x88891f93783db39d:0xc5b38d5beeb762e,,['Hotel'],,,
Couch & Sofa Dr.®️ NYC,0x89c258fcd0b5f04f:0x52826fe6e8398c74,,"['Furniture repair shop' 'Furniture maker' 'Hotel supply store'
 'Upholstery shop']",['Identifies as veteran-led'],,
Chattooga Trails Bed & Barn,0x8858e619b88a8229:0xa104a323f84efada,,"['Indoor lodging' 'Bed & breakfast' 'Campground' 'Horse boarding stable'
 'Horseback riding service' 'Hotel' 'RV park']",,,
Howard Johnson Express Inn - Orangeburg,0x88f8d35c09d0f33b:0xb5c3fd4520ca73de,"Casual hotel offering simple rooms with microwaves, plus an outdoor pool & free breakfast.",['Hotel' 'Inn' 'Lodge'],,,pool
Aspen Leaf Antiques & Motel,0x876be255056d30b7:0xd6b9486f0bad10e7,,['Motel' 'Hotel'],,This cute place is a throwback to the days when motels were known as Auto Courts. We recently spent two nights here and were very comfortable the whole time. The motel is conveniently located only a block or two from several nice restaurants and a grocery store. Having our own cozy little kitchenette was great for making our own morning coffee and breakfast. Despite being located on the main street  these units are off the street and very nice and quiet. Sue the congenial owner even hangs the laundry out on the line to dry! Makes for another homey touch in a very homey spot!,"restaurant, laundry"
Comfort Inn Plano,0x864c1927018b7cbd:0x69c69d3db8ef4efb,,['Hotel'],,,
Maple Meadows Inn,0x5485e61ec9bf05d9:0x8082ee71c6c78650,"Cozy cottages in a homey B&B near the beach, plus a yoga studio, a garden & free Internet access.",['Bed & breakfast' 'Hotel' 'Motel' 'Serviced accommodation' 'Yoga studio'],,,
Bear Hug,0x885be18101e5ed33:0x97b59513a67a9217,,['Hotel'],,,
TOPSPOT 191 RV PARK,0x8721f40d55314ead:0xf78ad4188c01720e,,['Hotel'],,,
Hampton Inn,0x89c819487b6684fb:0x70d77a6bc2dab5a3,,['Hotel'],,Wonderful,
Walter Hoving Home,0x80c8c6cded979cbd:0xa5ca577078b79e45,,"['Non-profit organization' 'Physical therapist' 'Wellness center'
 'Wellness hotel']",,,
Amarillo Texas,0x88891fd3dc504b41:0x25facb8cdea6ad17,,['Hotel'],,,
